Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.027.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.027.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.026.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.026.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.025.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.025.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.024.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.024.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.023.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.023.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.022.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.022.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.021.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.021.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.020.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.020.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.019.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.019.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.018.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.018.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.017.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.017.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.016.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.016.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.015.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.015.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.014.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.014.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.013.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.013.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.012.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.012.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.011.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.011.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.010.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.010.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.009.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.009.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.008.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.008.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.007.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.007.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.006.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.006.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.005.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.005.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.004.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.004.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.003.exe	Удалено	Объект удален	EICAR-Test-File		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.003.exe	Удалено	Вирус	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.002.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.002.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.001.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.001.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:45	C:\Users\IEUser\Desktop\out.zip\out\bit.000.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.000.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:58	C:\Users\IEUser\Desktop\out.zip	Создана резервная копия	Создана резервная копия объекта	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop	out.zip	Создана резервная копия	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:41	C:\Users\IEUser\Desktop\out.zip\out\bit.159.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.159.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:41	C:\Users\IEUser\Desktop\out.zip\out\bit.159.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.159.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:40	C:\Users\IEUser\Desktop\out.zip\out\bit.158.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.158.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:40	C:\Users\IEUser\Desktop\out.zip\out\bit.158.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.158.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:40	C:\Users\IEUser\Desktop\out.zip\out\bit.157.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.157.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:40	C:\Users\IEUser\Desktop\out.zip\out\bit.157.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.157.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:40	C:\Users\IEUser\Desktop\out.zip\out\bit.156.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.156.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:40	C:\Users\IEUser\Desktop\out.zip\out\bit.156.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.156.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:39	C:\Users\IEUser\Desktop\out.zip\out\bit.155.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.155.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:39	C:\Users\IEUser\Desktop\out.zip\out\bit.155.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.155.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:39	C:\Users\IEUser\Desktop\out.zip\out\bit.154.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.154.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:39	C:\Users\IEUser\Desktop\out.zip\out\bit.154.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.154.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:38	C:\Users\IEUser\Desktop\out.zip\out\bit.153.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.153.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:38	C:\Users\IEUser\Desktop\out.zip\out\bit.153.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.153.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:38	C:\Users\IEUser\Desktop\out.zip\out\bit.152.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.152.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:38	C:\Users\IEUser\Desktop\out.zip\out\bit.152.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.152.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:38	C:\Users\IEUser\Desktop\out.zip\out\bit.151.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.151.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:38	C:\Users\IEUser\Desktop\out.zip\out\bit.151.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.151.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:37	C:\Users\IEUser\Desktop\out.zip\out\bit.150.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.150.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:37	C:\Users\IEUser\Desktop\out.zip\out\bit.150.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.150.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:37	C:\Users\IEUser\Desktop\out.zip\out\bit.149.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.149.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:37	C:\Users\IEUser\Desktop\out.zip\out\bit.149.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.149.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:37	C:\Users\IEUser\Desktop\out.zip\out\bit.148.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.148.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:37	C:\Users\IEUser\Desktop\out.zip\out\bit.148.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.148.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:36	C:\Users\IEUser\Desktop\out.zip\out\bit.147.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.147.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:36	C:\Users\IEUser\Desktop\out.zip\out\bit.147.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.147.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:36	C:\Users\IEUser\Desktop\out.zip\out\bit.146.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.146.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:36	C:\Users\IEUser\Desktop\out.zip\out\bit.146.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.146.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:36	C:\Users\IEUser\Desktop\out.zip\out\bit.145.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.145.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:36	C:\Users\IEUser\Desktop\out.zip\out\bit.145.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.145.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:35	C:\Users\IEUser\Desktop\out.zip\out\bit.144.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.144.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:35	C:\Users\IEUser\Desktop\out.zip\out\bit.144.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.144.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:35	C:\Users\IEUser\Desktop\out.zip\out\bit.143.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.143.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:35	C:\Users\IEUser\Desktop\out.zip\out\bit.143.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.143.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:34	C:\Users\IEUser\Desktop\out.zip\out\bit.142.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.142.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:34	C:\Users\IEUser\Desktop\out.zip\out\bit.142.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.142.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:34	C:\Users\IEUser\Desktop\out.zip\out\bit.141.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.141.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:34	C:\Users\IEUser\Desktop\out.zip\out\bit.141.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.141.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:34	C:\Users\IEUser\Desktop\out.zip\out\bit.140.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.140.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:34	C:\Users\IEUser\Desktop\out.zip\out\bit.140.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.140.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:33	C:\Users\IEUser\Desktop\out.zip\out\bit.139.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.139.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:33	C:\Users\IEUser\Desktop\out.zip\out\bit.139.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.139.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:33	C:\Users\IEUser\Desktop\out.zip\out\bit.138.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.138.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:33	C:\Users\IEUser\Desktop\out.zip\out\bit.138.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.138.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:33	C:\Users\IEUser\Desktop\out.zip\out\bit.137.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.137.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:33	C:\Users\IEUser\Desktop\out.zip\out\bit.137.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.137.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:32	C:\Users\IEUser\Desktop\out.zip\out\bit.136.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.136.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:32	C:\Users\IEUser\Desktop\out.zip\out\bit.136.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.136.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:32	C:\Users\IEUser\Desktop\out.zip\out\bit.135.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.135.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:32	C:\Users\IEUser\Desktop\out.zip\out\bit.135.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.135.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:32	C:\Users\IEUser\Desktop\out.zip\out\bit.134.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.134.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:32	C:\Users\IEUser\Desktop\out.zip\out\bit.134.exe\#	Обнаружено	Обнаружен вредоносный объект	Trojan.Win32.Shelma.ind	Базы	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.134.exe//	#	Обнаружено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:24:31	C:\Users\IEUser\Desktop\out.zip\out\bit.133.exe\#	Не обработано	Лечение невозможно	Trojan.Win32.Shelma.ind	Отложено	Файл	C:\Users\IEUser\Desktop\out.zip//out/bit.133.exe//	#	Не обработано	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
